name,type,latitude,longitude,address,phone,opening_hours,services,medications,emergency,id,created_date,updated_date,created_by_id,created_by,is_sample
"Hospital Municipal de Itapetinga","hospital","-15.2486","-40.2481","Av. Cinquentenário, s/n - Centro, Itapetinga - BA","(77) 3261-1000","24 horas","[""Emergência"",""UTI"",""Maternidade"",""Pediatria""]","[]","true","692fbd0721a6612837bba61e","2025-12-03T04:31:03.810000","2025-12-03T04:31:03.810000","69270ce69a79383fa5cfe321","cristiansouto2019@gmail.com","false"
"UPA Itapetinga","upa","-15.252","-40.243","Av. Juracy Magalhães, Itapetinga - BA","(77) 3261-2000","24 horas","[""Urgência"",""Emergência"",""Ortopedia""]","[]","true","692fbd0721a6612837bba61f","2025-12-03T04:31:03.810000","2025-12-03T04:31:03.810000","69270ce69a79383fa5cfe321","cristiansouto2019@gmail.com","false"
"Posto de Saúde Centro","posto_saude","-15.2505","-40.2495","R. São Sebastião, 100 - Centro, Itapetinga - BA","(77) 3261-3001","07:00 - 17:00","[""Vacinação"",""Consultas"",""Pré-natal""]","[]","false","692fbd0721a6612837bba620","2025-12-03T04:31:03.810000","2025-12-03T04:31:03.810000","69270ce69a79383fa5cfe321","cristiansouto2019@gmail.com","false"
"Posto de Saúde Primavera","posto_saude","-15.255","-40.252","R. das Acácias, 200 - Primavera, Itapetinga - BA","(77) 3261-3002","07:00 - 17:00","[""Vacinação"",""Clínico Geral"",""Pediatria""]","[]","false","692fbd0721a6612837bba621","2025-12-03T04:31:03.810000","2025-12-03T04:31:03.810000","69270ce69a79383fa5cfe321","cristiansouto2019@gmail.com","false"
"Posto de Saúde Morumbi","posto_saude","-15.242","-40.245","R. Principal, 50 - Morumbi, Itapetinga - BA","(77) 3261-3003","07:00 - 17:00","[""Vacinação"",""Consultas"",""Exames""]","[]","false","692fbd0721a6612837bba622","2025-12-03T04:31:03.810000","2025-12-03T04:31:03.810000","69270ce69a79383fa5cfe321","cristiansouto2019@gmail.com","false"
"Posto de Saúde Campo Verde","posto_saude","-15.26","-40.24","Av. Campo Verde, 300 - Campo Verde, Itapetinga - BA","(77) 3261-3004","07:00 - 17:00","[""Vacinação"",""Pré-natal"",""Hipertensos""]","[]","false","692fbd0721a6612837bba623","2025-12-03T04:31:03.810000","2025-12-03T04:31:03.810000","69270ce69a79383fa5cfe321","cristiansouto2019@gmail.com","false"
"Farmácia Municipal de Itapetinga","farmacia","-15.249","-40.247","Praça da Matriz, 25 - Centro, Itapetinga - BA","(77) 3261-4001","08:00 - 18:00","[]","[""Genéricos"",""Controlados"",""Antibióticos""]","false","692fbd0721a6612837bba624","2025-12-03T04:31:03.810000","2025-12-03T04:31:03.810000","69270ce69a79383fa5cfe321","cristiansouto2019@gmail.com","false"
"Farmácia Popular","farmacia","-15.2475","-40.25","Av. Cinquentenário, 150 - Centro, Itapetinga - BA","(77) 3261-4002","08:00 - 20:00","[]","[""Genéricos"",""Vitaminas"",""Fitoterápicos""]","false","692fbd0721a6612837bba625","2025-12-03T04:31:03.810000","2025-12-03T04:31:03.810000","69270ce69a79383fa5cfe321","cristiansouto2019@gmail.com","false"
"Drogaria São Lucas","farmacia","-15.251","-40.246","R. Tiradentes, 80 - Centro, Itapetinga - BA","(77) 3261-4003","07:00 - 22:00","[]","[""Genéricos"",""Dermocosméticos"",""Suplementos""]","false","692fbd0721a6612837bba626","2025-12-03T04:31:03.810000","2025-12-03T04:31:03.810000","69270ce69a79383fa5cfe321","cristiansouto2019@gmail.com","false"
"Clínica Santa Maria","clinica","-15.2465","-40.251","R. Dom Pedro II, 300 - Centro, Itapetinga - BA","(77) 3261-5001","08:00 - 18:00","[""Cardiologia"",""Ginecologia"",""Clínico Geral""]","[]","false","692fbd0721a6612837bba627","2025-12-03T04:31:03.810000","2025-12-03T04:31:03.810000","69270ce69a79383fa5cfe321","cristiansouto2019@gmail.com","false"
"Clínica São José","clinica","-15.253","-40.244","Av. Juracy Magalhães, 500 - Centro, Itapetinga - BA","(77) 3261-5002","08:00 - 18:00","[""Ortopedia"",""Pediatria"",""Dermatologia""]","[]","false","692fbd0721a6612837bba628","2025-12-03T04:31:03.810000","2025-12-03T04:31:03.810000","69270ce69a79383fa5cfe321","cristiansouto2019@gmail.com","false"
"Centro de Especialidades Odontológicas","clinica","-15.2498","-40.2455","R. Castro Alves, 120 - Centro, Itapetinga - BA","(77) 3261-5003","08:00 - 17:00","[""Odontologia"",""Ortodontia"",""Cirurgia Bucal""]","[]","false","692fbd0721a6612837bba629","2025-12-03T04:31:03.810000","2025-12-03T04:31:03.810000","69270ce69a79383fa5cfe321","cristiansouto2019@gmail.com","false"
